Running fetch_all.py...
[590/2102] 060306 OK
[591/2102] 060312 OK
[592/2102] 060307 OK
[593/2102] 060308 OK
[594/2102] 060309 OK
[595/2102] 060310 OK
[596/2102] 060311 OK
[597/2102] 060602 OK
[598/2102] 060605 OK
[599/2102] 060619 OK
[600/2102] 060606 OK
[601/2102] 060607 OK
[602/2102] 060618 OK
[603/2102] 060601 OK
[604/2102] 060603 OK
[605/2102] 060604 OK
[606/2102] 060608 OK
[607/2102] 060609 OK
[608/2102] 060610 OK
[609/2102] 060611 OK
[610/2102] 060612 OK
[611/2102] 060613 OK
[612/2102] 060614 OK
[613/2102] 060617 OK
[614/2102] 060615 OK
[615/2102] 060616 OK
[616/2102] 060403 OK
[617/2102] 060401 OK
[618/2102] 060406 OK
[619/2102] 060404 OK
[620/2102] 060405 OK
[621/2102] 060409 OK
[622/2102] 060407 OK
[623/2102] 060408 OK
[624/2102] 060502 OK
[625/2102] 060504 OK
[626/2102] 060503 OK
[627/2102] 060501 OK
[628/2102] 060505 OK
[629/2102] 060506 OK
[630/2102] 060507 OK
[631/2102] 060508 OK
[632/2102] 060509 OK
[633/2102] 060510 OK
[634/2102] 060511 OK
[635/2102] 060512 OK
[636/2102] 060513 OK
[637/2102] 060514 OK
[638/2102] 060515 OK
[639/2102] 060701 OK
[640/2102] 060702 OK
[641/2102] 060703 OK
[642/2102] 060802 OK
[643/2102] 060804 OK
[644/2102] 060803 OK
[645/2102] 060812 OK
[646/2102] 060801 OK
[647/2102] 060811 OK
[648/2102] 060805 OK
[649/2102] 060806 OK
[650/2102] 060807 OK
[651/2102] 060808 OK
[652/2102] 060809 OK
[653/2102] 060810 OK
[654/2102] 061102 OK
[655/2102] 061103 OK
[656/2102] 061105 OK
[657/2102] 061104 OK
[658/2102] 061101 OK
[659/2102] 061106 OK
[660/2102] 061107 OK
[661/2102] 061207 OK
[662/2102] 061205 OK
[663/2102] 061203 OK
[664/2102] 061202 OK
[665/2102] 061204 OK
[666/2102] 061206 OK
[667/2102] 061201 OK
[668/2102] 061013 OK
[669/2102] 061002 OK
[670/2102] 061012 OK
[671/2102] 061009 OK
[672/2102] 061003 OK
[673/2102] 061004 OK
[674/2102] 061005 OK
[675/2102] 061006 OK
[676/2102] 061007 OK
[677/2102] 061001 OK
[678/2102] 061008 OK
[679/2102] 061011 OK
[680/2102] 061010 OK
[681/2102] 061302 OK
[682/2102] 061303 OK
[683/2102] 061301 OK
[684/2102] 061304 OK
[685/2102] 060910 OK
[686/2102] 060902 OK
[687/2102] 060903 OK
[688/2102] 060904 OK
[689/2102] 060905 OK
[690/2102] 060906 OK
[691/2102] 060901 OK
[692/2102] 060911 OK
[693/2102] 060907 OK
[694/2102] 060908 OK
[695/2102] 060909 OK
[696/2102] 240102 OK
[697/2102] 240101 OK
[698/2102] 240104 OK
[699/2102] 240105 OK
[700/2102] 240103 OK
[701/2102] 240107 OK
[702/2102] 240106 OK
[703/2102] 070201 OK
[704/2102] 070202 OK
[705/2102] 070203 OK
[706/2102] 070207 OK
[707/2102] 070204 OK
[708/2102] 070205 OK
[709/2102] 070206 OK
[710/2102] 070309 OK
[711/2102] 070301 OK
[712/2102] 070308 OK
[713/2102] 070302 OK
[714/2102] 070303 OK
[715/2102] 070304 OK
[716/2102] 070305 OK
[717/2102] 070306 OK
[718/2102] 070307 OK
[719/2102] 070401 OK
[720/2102] 070402 OK
[721/2102] 070403 OK
[722/2102] 070404 OK
[723/2102] 070405 OK
[724/2102] 070406 OK
[725/2102] 070407 OK
[726/2102] 070408 OK
[727/2102] 070502 OK
[728/2102] 070503 OK
[729/2102] 070504 OK
[730/2102] 070505 OK
[731/2102] 070506 OK
[732/2102] 070507 OK
[733/2102] 070508 OK
[734/2102] 070501 OK
[735/2102] 070603 OK
[736/2102] 070602 OK
[737/2102] 070604 OK
[738/2102] 070605 OK
[739/2102] 070606 OK
[740/2102] 070607 OK
[741/2102] 070601 OK
[742/2102] 070608 OK
[743/2102] 070702 OK
[744/2102] 070704 OK
[745/2102] 070703 OK
[746/2102] 070705 OK
[747/2102] 070706 OK
[748/2102] 070707 OK
[749/2102] 070701 OK
[750/2102] 070708 OK
[751/2102] 070102 OK
[752/2102] 070101 OK
[753/2102] 070103 OK
[754/2102] 070104 OK
[755/2102] 070105 OK
[756/2102] 070106 OK
[757/2102] 070107 OK
[758/2102] 070108 OK
[759/2102] 070808 OK
[760/2102] 070802 OK
[761/2102] 070803 OK
[762/2102] 070801 OK
[763/2102] 070804 OK
[764/2102] 070805 OK
[765/2102] 070806 OK
[766/2102] 070807 OK
[767/2102] 070917 OK
[768/2102] 070902 OK
[769/2102] 070903 OK
[770/2102] 070911 OK
[771/2102] 070909 OK
[772/2102] 070916 OK
[773/2102] 070918 OK
[774/2102] 070904 OK
[775/2102] 070915 OK
[776/2102] 070905 OK
[777/2102] 070910 OK
[778/2102] 070908 OK
[779/2102] 070901 OK
[780/2102] 070906 OK
[781/2102] 070919 OK
[782/2102] 070907 OK
[783/2102] 070913 OK
[784/2102] 070912 OK
[785/2102] 071002 OK
[786/2102] 071003 OK
[787/2102] 071004 OK
[788/2102] 071005 OK
[789/2102] 071006 OK
[790/2102] 071008 OK
[791/2102] 071001 OK
[792/2102] 071009 OK
[793/2102] 071007 OK
[794/2102] 071102 OK
[795/2102] 071104 OK
[796/2102] 071103 OK
[797/2102] 071106 OK
[798/2102] 071105 OK
[799/2102] 071101 OK
[800/2102] 071202 OK
[801/2102] 071203 OK
[802/2102] 071204 OK
[803/2102] 071205 OK
[804/2102] 071206 OK
[805/2102] 071207 OK
[806/2102] 071208 OK
[807/2102] 071209 OK
[808/2102] 071210 OK
[809/2102] 071211 OK
[810/2102] 071212 OK
[811/2102] 071201 OK
[812/2102] 071302 OK
[813/2102] 071303 OK
[814/2102] 071304 OK
[815/2102] 071305 OK
[816/2102] 071306 OK
[817/2102] 071301 OK
[818/2102] 071307 OK
[819/2102] 080201 OK
[820/2102] 080203 OK
[821/2102] 080202 OK
[822/2102] 080204 OK
[823/2102] 080205 OK
[824/2102] 080206 OK
[825/2102] 080207 OK
[826/2102] 080208 OK
[827/2102] 080302 OK
[828/2102] 080303 OK
[829/2102] 080312 OK
[830/2102] 080305 OK
[831/2102] 080304 OK
[832/2102] 080306 OK
[833/2102] 080307 OK
[834/2102] 080308 OK
[835/2102] 080301 OK
[836/2102] 080309 OK
[837/2102] 080310 OK
[838/2102] 080311 OK
[839/2102] 080402 OK
[840/2102] 080403 OK
[841/2102] 080405 OK
[842/2102] 080401 OK
[843/2102] 080408 OK
[844/2102] 080406 OK
[845/2102] 080409 OK
[846/2102] 080410 OK
[847/2102] 080414 OK
[848/2102] 080422 OK
[849/2102] 080429 OK
[850/2102] 080427 OK
[851/2102] 080428 OK
[852/2102] 080702 OK
[853/2102] 080703 OK
[854/2102] 080701 OK
[855/2102] 080711 OK
[856/2102] 080704 OK
[857/2102] 080705 OK
[858/2102] 080706 OK
[859/2102] 080710 OK
[860/2102] 080707 OK
[861/2102] 080708 OK
[862/2102] 080709 OK
[863/2102] 080102 OK
[864/2102] 080103 OK
[865/2102] 080119 OK
[866/2102] 080104 OK
[867/2102] 080105 OK
[868/2102] 080106 OK
[869/2102] 080101 OK
[870/2102] 080120 OK
[871/2102] 080108 OK
[872/2102] 080109 OK
[873/2102] 080110 OK
